link,rank,title,country,description,ep,genres,keywords,aired,network,duration,content_rating,score,num_scored_by,num_watcher,actors,screenwriter,director
https://mydramalist.com/10906-lovers,2502,Lovers,South Korea,N/A,103,"['Romance', 'Drama', 'Family', 'Melodrama']",N/A,2003-05-19,SBS,,Not Yet Rated,6.5,4,21,"['Lee Jung Gil', 'Choi Jung Won', 'Lee  Han Wi', 'Im Ho', 'Jo Kyung Hwan', 'Lee Min Young']",,Shin Yoon Sub 
https://mydramalist.com/12611-tv-novel-flower-story,2503,TV Novel: Flower Story,South Korea,,167,"['Romance', 'Drama']",N/A,2001-04-23,KBS1,25 min.,15+ - Teens 15 or older,6.5,4,20,"['Im Ji Eun', 'Lee Joo Hyun', 'Jeon Yang Ja', 'Lee Hyung Chul', 'Kim Na Woon', 'Jo Hyung Ki']",Goo Hyun Sook ,
https://mydramalist.com/15147-romantic-movement-in-seoul,2504,Romantic Movement In Seoul,South Korea,"The Romantic Movement: Seoul is a four part drama series compiled in 9 episodes. Each part is directed by a different director, two of which are very popular - Kang Chul Woo who is famous for the movie Romantic Island, and Park Hyun Jin who directed Lovers of 6 Years. The series owes tribute to the book which it is based on: The Romantic Movement by Alain de Botton. The series cohesively",9,"['Comedy', 'Romance', 'Life', 'Drama']","['Short Length Series', 'Miniseries', 'Melodrama']",2010-00-03,N/A,6 min.,Not Yet Rated,6.5,12,80,"['Min Hyo Rin', 'Defconn']",,
https://mydramalist.com/711005-scene-and-box-season-1,2505,Scene and Box Season 1,South Korea,,4,['Romance'],"['Short Length Series', 'Miniseries', 'High School', 'Web Series']",2020-09-04,N/A,5 min.,Not Yet Rated,6.5,4,19,N/A,,
https://mydramalist.com/741-age-of-innocence,2506,Age of Innocence,South Korea,"Tae Seok, Ji Yoon and Min Soo were best friends in high school. Tae Seok is a son of divorced parents are secretly in love with Ji Yoon when he knows Min Soo also has feelings for Ji Yoon, but Ji Yoon does not have any feelings toward Min Soo. When Min Soo saw them kissing, he attempted suicide in front of them, leaving Ji Yoon's and Tae Seok's felt like they",16,"['Romance', 'Melodrama']",N/A,2002-07-03,SBS,1 hr. 5 min.,15+ - Teens 15 or older,6.5,100,316,"['Park Jung Chul', 'Go Soo', 'Kim Min Hee', 'Han Da Gam', 'Kim Gab Soo', 'Gu Jun Yeop']",Lee Jung Sun ,Kang Shin Hyo 
https://mydramalist.com/704683-company-romance,2507,Company Romance,South Korea,,6,['Romance'],"['Gay Male Lead', 'Short Length Series', 'LGBTQ+', 'Miniseries', 'Web Series', 'Office Romance']",2021-05-19,N/A,15 min.,Not Yet Rated,6.5,20,109,N/A,,
https://mydramalist.com/1218-the-person-i-love,2508,The Person I Love,South Korea,"Yoon Seok Joo is a producer who abandons his common law wife, Seo Young, to attain success. They have a daughter together but he later betrays Seo Young when he marries a rich man's daughter, Lee Jung Min. Lee Sang Min is an owner of a film company and is a new film director. He is also Jung Min's half brother. Sang Min will be a rival to Seok Joo in work",20,"['Romance', 'Family', 'Melodrama']","['Betrayal', 'Sibling', 'Unrequited Love', 'Love Triangle']",2007-01-15,SBS,1 hr. 10 min.,Not Yet Rated,6.5,65,255,"['Han Da Gam', 'Hwang Jung Eum', 'Jo Dong Hyuk', 'Kim Dong Wan', 'Im Chae Moo', 'Yoon Hye Kyung']",Choi Yoon Jung ,"Yoon Ryu Hae,  Jung Se Ho "
https://mydramalist.com/1420-juliets-man,2509,Juliet's Man,South Korea,"Jang Gi Poong (Cha Tae Hyun), grew up spoiled by his grandfather. He's a major playboy who doesn't take anything seriously in life. All he needs is money. Then one day, his grandfather decides to donate his entire money to the country and leaves him with nothing. He soon finds a check which states that a department store owes his grandfather money. But getting that money isn't that easy. The president of",17,N/A,"['Debt Passed to Children', 'Playboy Male Lead', 'Debt']",2000-09-14,SBS,1 hr. 5 min.,Not Yet Rated,6.5,10,147,"['Cha Tae Hyun', 'Ji Jin Hee', 'Kim Min Hee', 'Ye Ji Won', 'Baek Seung Hyun', 'Nam Young Jin']",Park Kye Ok ,Oh Jong Rok 
https://mydramalist.com/26816-let-s-hold-hands-tightly-and-watch-the-sunset,2510,Let's Hold Hands Tightly and Watch The Sunset,South Korea,"Hyun Joo had a hard life after losing her mother to a brain tumor at a young age. It was her husband Kim Do Yeong, who saved her. However, she finds out that she will also die soon like her late mother. The fear of leaving her family in the same pain and agony she went through as a child is bigger than the fear of dying. This leads her to tell",32,"['Romance', 'Drama', 'Family', 'Melodrama']","['Hospital Setting', 'Death of a Husband', 'Death of a Mother', 'Housewife Female Lead', 'Doctor Male Lead', 'Competent Female Lead', 'Grandpa-Granddaughter Relationship', 'Flashback To Past', 'Nice Female Lead', 'Mistake']",2018-03-21,MBC,35 min.,15+ - Teens 15 or older,6.5,175,977,"['Han Hye Jin', 'Yoon Sang Hyun', 'Yoo In Young', 'Kim Tae Hoon', 'Lee Na Yoon', 'Lee Mi Do']",Jung Ha Yeon ,"Kim Sung Yong,  Jung Ji In "
https://mydramalist.com/2294-breathless,2511,Breathless,South Korea,"A young man here is dreaming about his future. He needs to do whatever task lying in front of him to earn his living, yet he is running fast to dream and to love. Whenever he is sprinting, he is so full of energy that he forgets about his poverty and his dark family background. The world might jeer at him but he does not care. 
She is rather special. She is",16,"['Romance', 'Drama', 'Sports']","['Rich woman/Poor man', 'Family']",2003-10-22,MBC,60 min.,Not Yet Rated,6.5,66,290,"['Kim Kang Woo', 'Chae Jung An', 'Lee Jong Soo', 'Kim Jung Hyun', 'Go Joon Hee', 'Eric Mun']",Lee Kyung Hee ,Park Sung Soo 
https://mydramalist.com/26806-fly-high,2512,Aim High,South Korea,This web-drama deals with school violence and delivers the message that victims of school violence can overcome their traumas with guided care and attention.  Who is the perpetrator and who is the victim? Who will heal them with trauma and guilt? The Justice team is reaching out.,6,"['School', 'Drama']","['Short Length Series', 'Miniseries', 'Web Series']",2017-12-28,Naver TV Cast,10 min.,Not Yet Rated,6.5,7,110,"['Danny Ahn', 'Seo Shin Ae', 'Park Hae Mi', 'Jung Da Eun', 'Jeong Hee Tae', 'Jo Soo Ha']",Jo Won Hee ,Shin Dong Il 
https://mydramalist.com/52299-office-record,2513,Office Record,South Korea,Life of an office worker after she finds out she is pregnant on the first day of her work.,8,['Drama'],"['Short Length Series', 'Office Worker', 'Miniseries', 'Web Series', 'Pregnancy']",2019-08-17,Naver TV Cast,10 min.,15+ - Teens 15 or older,6.5,5,31,N/A,,
https://mydramalist.com/714409-wanna-sleepover,2514,Wanna Sleepover,South Korea,,9,"['Romance', 'Drama']","['Short Length Series', 'Miniseries', 'Web Series']",2021-04-11,N/A,10 min.,Not Yet Rated,6.5,34,93,"['Seo Hye Lin', 'Kim Dong Woo']",,
